"id","company_name","registration_number","category","state","original_website","aum","contact_email","contact_phone","business_summary","primary_focus","validated_urls","confidence_level","data_completeness"
311,"Dynamic Fincap Private Limited","ROW-2222",NULL,NULL,"http://dynamicfincap.com/",NULL,NULL,NULL,"Dynamic Fincap Private Limited is a leading NBFC in India, offering personal loans, business loans, gold loans, housing loans, and investment advisory services to individuals and businesses.","SMEs and Corporates","{homepage:http://dynamicfincap.com/}","medium","1.00"
312,"Dynamic Finvest Services Pvt. Ltd.","ROW-2223",NULL,NULL,"https://dynamic-finvest-services-private-limited.charteredone.com/U74899DL1995PTC066684",NULL,NULL,NULL,"DYNAMIC FINVEST SERVICES PRIVATE LIMITED is a private limited company incorporated in India, involved in various compliances and registrations related to tax, audit, and other government services.","Not specified on website","{homepage:https://dynamic-finvest-services-private-limited.charteredone.com/U74899DL1995PTC066684}","medium","0.86"
313,"Dytron Finvest Pvt. Ltd. C","ROW-2228",NULL,NULL,"https://www.dytronfinvest.com/",NULL,NULL,NULL,"Dytron Finvest is a Non-Banking Financial Company (NBFC) registered with the Reserve Bank of India, offering digital lending services designed to support individuals across India. The company specializes in delivering reliable and accessible credit solutions through its authorized lending service provider, Paisa 108. Dytron Finvest focuses on enabling responsible access through transparent, compliant, and borrower-focused lending practices.","MSME","{homepage:https://www.dytronfinvest.com/,team:https://www.dytronfinvest.com/contact-us,products:https://www.dytronfinvest.com/services,about:https://www.dytronfinvest.com/about-us}","high","1.00"
314,"Earlysalary Services Private Limited (Old Name Ashish Securities Pvt. Ltd.)","ROW-2233",NULL,NULL,"https://www.earlysalary.in/",NULL,NULL,NULL,"EarlySalary Services Private Limited is a Non-Banking Financial Company (NBFC) registered with the Reserve Bank of India, providing easy financing services to various sections of the community through digital lending.","Multi-Product","{homepage:https://www.earlysalary.in/,team:https://www.earlysalary.in/our-co-lending-partners/,products:https://www.earlysalary.in/}","high","1.00"
315,"Earth India Finlease Ltd.","ROW-2236",NULL,NULL,"https://www.earthleasingfinance.com/",NULL,NULL,NULL,"Earth Leasing & Finance Private Limited is a Non-Banking Financial Company (NBFC) registered with the Reserve Bank of India, providing financial services including education loans to students and working professionals.","MSME","{homepage:https://www.earthleasingfinance.com/}","high","1.00"
316,"Earthstone Holding (Two) Private Limited","ROW-2238",NULL,NULL,"https://www.earthstonein.com/",NULL,NULL,NULL,"EARTHSTONE HOLDING (TWO) PRIVATE LIMITED is a non-banking financial institution offering various loan products, including home renovation, travel, wedding, and personal loans, with a focus on providing easy-to-manage repayment options.","Multi-Product","{homepage:https://www.earthstonein.com/}","high","1.00"
317,"Easun Capital Markets Ltd.","ROW-2250",NULL,NULL,"https://www.easuncapitalmarkets.com/",NULL,NULL,NULL,"Easun Capital Markets is an NBFC registered with the Reserve Bank of India, offering investment in shares and securities, as well as loan and advance to SMEs. The company has a long history since 1982 and provides one-stop financial services to corporate customers across various business areas. It focuses on its main line of business of investment and financing.","MSME","{homepage:https://www.easuncapitalmarkets.com/}","high","1.00"
318,"Ecomark General Finance And Lealsing Limited","ROW-2257",NULL,NULL,"https://www.ecomarkfinlet.com/",NULL,NULL,NULL,"Ecomark Finlet is a Non-Banking Finance Company (NBFC) providing loans on consumer lending, small and medium-sized enterprises (SME) lending, rural lending, and other sectors. It offers various loan products such as vehicle loans, gold loans, business loans, personal loans, microfinance, and microcredits. The company has an unparalleled expertise in the finance service industry.","Multi-Product","{homepage:https://www.ecomarkfinlet.com/}","high","0.86"
319,"Econ Super Sales Pvt Ltd","ROW-2258",NULL,NULL,"https://bfsi.economictimes.indiatimes.com/blog/how-nbfcs-are-driving-financial-inclusion-and-growth-in-rural-india/111988627",NULL,NULL,NULL,"ETBFSI.com serves financial services leaders who must balance innovation with regulation, growth with risk management, and customer service with operational efficiency. Financial services form the backbone of economic growth, enabling businesses to expand, individuals to achieve their goals, and economies to prosper.","Multi-Product","{about:https://bfsi.economictimes.indiatimes.com/about_us.php,team:https://bfsi.economictimes.indiatimes.com/contact_us.php,homepage:https://bfsi.economictimes.indiatimes.com/blog/how-nbfcs-are-driving-financial-inclusion-and-growth-in-rural-india/111988627}","medium","0.86"
320,"Ekanta Plastics Pvt Ltd","ROW-2275",NULL,NULL,"https://ekanta-plastics-pvt-ltd.charteredone.com/U51109WB1995PTC070080",NULL,NULL,NULL,"EKANTA PLASTICS PVT LTD is a private limited company involved in other passenger air-transport n.e.c. It provides various financial services including tax and audit, registration, and compliance services.","Not specified on website","{homepage:https://ekanta-plastics-pvt-ltd.charteredone.com/U51109WB1995PTC070080}","medium","0.86"
321,"Elcid Investments Ltd.","ROW-2281",NULL,NULL,"http://elcidinvestments.com/",NULL,NULL,NULL,"Elcid Investments Limited is a Non-Banking Finance Company registered with Reserve Bank of India, making investments in shares, debentures, mutual funds etc. It has two subsidiaries registered with RBI as well. The company's business is focused on investment activities.","Not specified on website","{about:http://elcidinvestments.com/about/,homepage:http://elcidinvestments.com/,team:http://elcidinvestments.com/contact/}","medium","0.86"
322,"Ellora Traders Ltd.","ROW-2301",NULL,NULL,"https://elloratraders.com/",NULL,NULL,NULL,"Ellora Traders Ltd is a Non-Banking Financial Company (NBFC) registered with the Reserve Bank of India, providing loans and advances to industrial enterprises, holding investments in various securities, and buying/selling shares, stocks, debentures, bonds, mutual funds.","MSME","{about:https://elloratraders.com/about-us/,team:https://elloratraders.com/management/,homepage:https://elloratraders.com/,products:https://elloratraders.com/our-service/}","high","1.00"
323,"Emerald Finance Limited (Formerly known as Emerald Leasing Finance and Investment Company Limited)","ROW-2311",NULL,NULL,"https://emeraldfin.com/",NULL,NULL,NULL,"Emerald Finance Limited is a dynamic company offering financial services, including early-wage access and loan solutions, with a focus on empowering individuals and businesses to achieve their dreams.","Multi-Product","{homepage:https://emeraldfin.com/,team:https://emeraldfin.com/become-a-partner/,about:https://emeraldfin.com/about/}","high","1.00"
324,"Emkay Corporate Services Pvt. Ltd.","ROW-2319",NULL,NULL,"https://www.emkayglobal.com/company-info/shareholding/emkay-global-financial-services-ltd",NULL,NULL,NULL,"Emkay Global Financial Services Ltd. is a financial services company that offers wealth management, institutional equity investment, investment management, and global investing services.","MSME","{about:https://www.emkayglobal.com/company-info/shareholding/emkay-global-financial-services-ltd/,products:https://www.emkayglobal.com/company-info/shareholding/emkay-global-financial-services-ltd/who-we-are,team:https://www.emkayglobal.com/company-info/shareholding/emkay-global-financial-services-ltd/emkay-leadership,homepage:https://www.emkayglobal.com/company-info/shareholding/emkay-global-financial-services-ltd}","medium","1.00"
325,"Emkay Merchandise Pvt Ltd","ROW-2321",NULL,NULL,"https://emkayconsultantslimited.in/about-us",NULL,NULL,NULL,"Emkay Finserv is a Non-Banking Finance Company (NBFC) providing financial services, including gold loans, silver loans, loan against mutual funds, and safe locker facility. It aims to empower unbanked customers with accessible financial opportunities. The company has over 25 years of experience and operates across multiple geographical locations.","MSME","{team:https://emkayconsultantslimited.in/contact,products:https://emkayconsultantslimited.in/services,about:https://emkayconsultantslimited.in/about-us,homepage:https://emkayconsultantslimited.in/about-us}","high","1.00"
326,"Enbee Trade & Finance Ltd","ROW-2336",NULL,NULL,"https://enbeetrade.com/",NULL,NULL,NULL,"Enbee Trade & Finance Limited provides financing for small businesses and personal needs, leveraging strong partnerships to ensure fast and transparent loan disbursements.","MSME","{homepage:https://enbeetrade.com/,products:https://enbeetrade.com/two-wheeler-loan/,about:https://enbeetrade.com/about-us,team:https://enbeetrade.com/contact/}","high","1.00"
327,"Enn Enn Capital Private Limited","ROW-2345",NULL,NULL,"https://www.ennenncorp.com/our-company/",NULL,NULL,NULL,"ENN ENN Corp Limited is a diversified organization engaged in Real Estate Development, Exports, Carbon-free Power Generation, Asset Leasing, NBFC, and management of income generating assets. The company focuses on growth through imagination, innovation, execution, management, and value creation. It aims to create the most trusted brand and gain market leader position in each sector it operates in.","Multi-Product","{team:https://www.ennenncorp.com/contact-us/,about:https://www.ennenncorp.com/our-company/,homepage:https://www.ennenncorp.com/our-company/}","high","0.86"
328,"Epic Vyapaar Private Limited","ROW-2356",NULL,NULL,"https://www.vaibhav-vyapaar.com/",NULL,NULL,NULL,"Vaibhav Vyapaar Private Limited is a leading NBFC providing various financial retail products, including personal loans and digital lending services.","MSME","{homepage:https://www.vaibhav-vyapaar.com/}","low","0.86"
329,"Epimoney Private Limited","ROW-2357",NULL,NULL,"https://www.epimoney.in/",NULL,NULL,NULL,"Epimoney Epimoney is a Non-Banking Financial Company that uses technology and data to bridge the credit gap for small businesses. It provides quick, collateral-free, and transparent funding access through its digital lending app, FlexiLoans.com, which aims to provide 'Financial Access at a click'. The company has partnered with several financial institutions to offer loans across India.","MSME","{homepage:https://www.epimoney.in/}","high","1.00"
330,"Equator Corporate Finance Private Limited","ROW-2360",NULL,NULL,"https://equator.co.in/",NULL,NULL,NULL,"Equator Financial Services Limited is a diversified financial services group that provides lending, financing, investment, and protection solutions. It was established in 1997 by experienced professionals in financial consultancy and corporate advisory, focusing on debt placement, syndication, and advisory services.","Multi-Product","{homepage:https://equator.co.in/,team:https://equator.co.in/contact/,products:https://equator.co.in/equator-financial-services-limited/,about:https://equator.co.in/about-us/}","high","1.00"
331,"ESN Finance and Capital Services Limited","ROW-2380",NULL,NULL,"https://www.esnfinance.com/",NULL,NULL,NULL,"ESN Finance and Capital Services Limited is a non-deposit taking Non-Banking Financial Company (NBFC) registered with the Reserve Bank of India, offering financial products and quality service to customers through its online platform.","Multi-Product","{homepage:https://www.esnfinance.com/,products:https://www.esnfinance.com/}","high","1.00"
332,"Everlon Financials Limited","ROW-2414",NULL,NULL,"https://everlon.in/",NULL,NULL,NULL,"Everlon Financials Limited is a BSE listed NBFC with decades of industrial and financial market experience, focusing on clean energy financing and solar power solutions.","MSME","{homepage:https://everlon.in/}","high","1.00"
333,"Excellent Fincap Private Ltd.","ROW-2422",NULL,NULL,"https://www.comfortfincap.com/",NULL,NULL,NULL,"Comfort Fincap Ltd is an NBFC offering tailored financial solutions for businesses and individuals, including loans secured by securities, consumer durable loans, and supply chain financing options.","MSME","{team:https://www.comfortfincap.com/contact-us,homepage:https://www.comfortfincap.com/,products:https://www.comfortfincap.com/loan-against-securities,about:https://www.comfortfincap.com/about}","high","1.00"
334,"Fair Connect Financial Services Private Limited","ROW-2454",NULL,NULL,"https://www.fairconnect.in/",NULL,NULL,NULL,"FairConnect Financial Services Private Limited is an NBFC that offers various loan products, including Loan Against Property (LAP), unsecured Business Loans, Channel Finance, Warehouse Finance, Gold Loans, Agriculture loans, and Vehicle Finance. The company has a wide range of experience in the financial services sector, with experts in credit analysis, risk management, and team management. It provides innovative solutions to businesses and individuals.","Multi-Product","{homepage:https://www.fairconnect.in/,team:https://www.fairconnect.in/about/management-team/,about:https://www.fairconnect.in/about/board_members/,products:https://www.fairconnect.in/nbfc/}","high","1.00"
335,"Femina Merchants (P) Ltd","ROW-2486",NULL,NULL,"https://feminafin.in/AboutUs/AboutUs",NULL,NULL,NULL,"Femina Merchants Pvt. Ltd. is a trusted NBFC offering microfinance, business loans, investment solutions, and wealth management services designed to empower individuals, entrepreneurs, and communities.","MSME","{homepage:https://feminafin.in/AboutUs/AboutUs,about:https://feminafin.in/AboutUs/AboutUs/,team:https://feminafin.in/AboutUs/AboutUs/Contact}","medium","1.00"
336,"Fexprime Finance Private Limited (formerly known as Bussan Auto Finance India Private Ltd)","ROW-2495",NULL,NULL,"https://www.fexprime.com/",NULL,NULL,NULL,"Fexprime Finance is a lending company that specializes in vehicle financing, particularly electric vehicles, and also offers personal loans. The company aims to provide accessible and personalized financial solutions to individuals and businesses. It has recently changed its name from Bussan Auto Finance India Pvt. Ltd.","Vehicle","{team:https://www.fexprime.com/management,homepage:https://www.fexprime.com/,products:https://www.fexprime.com/Service,about:https://www.fexprime.com/about-us}","medium","0.86"
337,"Finagle Financial Services Private Limited","ROW-2501",NULL,NULL,"https://www.finagle.co.in/",NULL,NULL,NULL,"Finagle Financial Services Pvt Ltd is a NBFC that provides quick, convenient, and affordable financing solutions. It was founded in 2021 and operates across various areas of business, including personal loans, education loans, business loans, commercial loans, secured loans, and unsecured loans.","Multi-Product","{homepage:https://www.finagle.co.in/}","medium","0.86"
338,"Fincfriends Private Limited (Reissued On December 24, 2018)","ROW-2508",NULL,NULL,"https://www.fincfriends.com/",NULL,NULL,NULL,"FincFriends Private Limited is a non-deposit taking non-banking financial company that provides digital lending solutions, including personal loans and credit lines, to underserved customers in India.","Multi-Product","{homepage:https://www.fincfriends.com/,about:https://www.fincfriends.com/}","high","1.00"
339,"Fincsquare Fintech Private Limited","ROW-2510",NULL,NULL,"https://www.fincsquare.com/",NULL,NULL,NULL,"FincSquare is a P2P lending platform that provides peer-to-peer loans to individuals and business loans to micro enterprises, aiming to simplify bank debt complexities with great ease.","Multi-Product","{homepage:https://www.fincsquare.com/}","high","1.00"
340,"Findoc Finvest (P) Ltd (Formerly known as Aujla Finvest Pvt Ltd and Name Changed On 8.02.2016)","ROW-2511",NULL,NULL,"https://findocfinvest.com/",NULL,NULL,NULL,"Findoc Finvest is a forward-thinking lending firm that leverages technology to simplify, expedite, and enhance accessibility to loans for its customers. It offers various loan products including business loans, loan against property, EV loans, healthcare loans, and more. The company aims to provide best-in-class service and solutions for its customers.","MSME","{homepage:https://findocfinvest.com/,team:https://findocfinvest.com/team,about:https://findocfinvest.com/about,products:https://findocfinvest.com/business-loan}","high","1.00"
341,"Finethical Trading Private Limited","ROW-2516",NULL,NULL,"https://finethical-trading-private-limited.charteredone.com/U51109WB1995PTC074092",NULL,NULL,NULL,"FINETHICAL TRADING PRIVATE LIMITED is a private limited company involved in other passenger air-transport n.e.c. It provides various financial services including tax and audit, registration, and compliance services.","Not specified on website","{homepage:https://finethical-trading-private-limited.charteredone.com/U51109WB1995PTC074092}","medium","0.86"
342,"Fingrow Investment Ventures Private Limited","ROW-2518",NULL,NULL,"https://fingrowcapital.com/about.php",NULL,NULL,NULL,"Fingrow Capital Pvt Ltd is an NBFC that offers customized finance options to small industries and businesses, focusing on providing faster, better, and cheaper financial solutions.","MSME","{homepage:https://fingrowcapital.com/about.php}","high","1.00"
343,"Finindia Credit And Finance Limited (Formerly Deepraj Investments Limited)","ROW-2519",NULL,NULL,"https://finindia.co.in/",NULL,NULL,NULL,"Finindia is an NBFC that offers various financial products including vehicle finance, personal loan, business loan, MSME business finance, equipment finance, and loan against property. The company aims to deliver innovative and customer-friendly products to cater to the growing needs of individuals and businesses in India. Finindia maintains a strong commitment to ethical conduct and transparency.","MSME","{team:https://finindia.co.in/resource/About-Us/Partners.aspx,products:https://finindia.co.in/resource/Products/E-Rickshawas.aspx,homepage:https://finindia.co.in/,about:https://finindia.co.in/resource/About-Us/Vision_Mission_Value.aspx}","high","1.00"
344,"Finvasia Financial Services Pvt Ltd","ROW-2534",NULL,NULL,"https://finvasia.com",NULL,NULL,NULL,"Finvasia Group is a global innovator leveraging engineering and technology to operate across various sectors, including finance, healthcare, technology, blockchain, and real estate. They offer a wide range of portfolio products and services, including commission-free financial ecosystems, social trading platforms, fintech solutions, and regulated blockchain-based digital payment processing solutions.","Multi-Product","{homepage:https://finvasia.com,about:https://finvasia.com/about-us,team:https://finvasia.com/management}","high","1.00"
345,"Finvent Finance And Investments Limited","ROW-2535",NULL,NULL,"http://finventfinance.com/message.php",NULL,NULL,NULL,"Finvent Finance is an NBFC that offers various loan products such as two wheeler loans, four wheeler loans, microfinance, and gold loans. They provide flexible schemes to suit customers' needs and have served around 20,000 satisfied customers. The company has a Pan Kerala Presence with 10 branches across the state.","MSME","{homepage:http://finventfinance.com/message.php}","high","1.00"
346,"Finvesco Capital India Private Limited (Buragadda Finance &Investments P.L., Buragadda Investments &Chits(P)L.)","ROW-2536",NULL,NULL,"https://finvescoholdings.com/",NULL,NULL,NULL,"Finvesco Holdings Private Limited is a Non-Deposit Taking Systemically Important – Core Investment Company that makes investments in its subsidiary company, Finvesco Capital India Private Limited, which provides a full range of services and offers innovative financial solutions to help fund investors achieve their investment goals.","MSME","{team:https://finvescoholdings.com/contact/,homepage:https://finvescoholdings.com/}","medium","0.86"
347,"Firstsource Credits Private Limited","ROW-2542",NULL,NULL,"https://firstsourcecredits.com/",NULL,NULL,NULL,"Firstsource Credits is a Non Banking Financial Company (NBFC) providing affordable and economical credit sources to individuals and businesses, with a focus on quick, secure, and trouble-free services.","MSME","{products:https://firstsourcecredits.com/products/,about:https://firstsourcecredits.com/about/,homepage:https://firstsourcecredits.com/,team:https://firstsourcecredits.com/contact/}","high","1.00"
348,"Fleeting Vyapaar  Pvt. Ltd.","ROW-2551",NULL,NULL,"https://www.vaibhav-vyapaar.com/",NULL,NULL,NULL,"Vaibhav Vyapaar Private Limited is a leading NBFC providing various financial retail products, including personal loans and digital lending services.","MSME","{homepage:https://www.vaibhav-vyapaar.com/}","medium","0.86"
349,"Flipstar Finance Limited","ROW-2558",NULL,NULL,"https://www.flipstar.in/",NULL,NULL,NULL,"Flipstar is a preeminent Non-Banking Financial Company (NBFC) offering a comprehensive range of financial solutions and services regulated by RBI directions and many other Indian laws. They provide various loan products for personal, business, and commercial needs.","Multi-Product","{homepage:https://www.flipstar.in/}","medium","1.00"
350,"Floral Vyapaar (P) Ltd","ROW-2560",NULL,NULL,"https://www.floralvyapaar.com/",NULL,NULL,NULL,"Floral Vyapar Pvt. Ltd is a private limited, non-government company registered with the Registrar of Companies, Kolkata, offering long-term and short-term investments in value-driven opportunities, including loan solutions against shares and property for growing businesses.","MSME","{team:https://www.floralvyapaar.com/about-lrsd/contact-us,homepage:https://www.floralvyapaar.com/,products:https://www.floralvyapaar.com/products/las-lap-loans,about:https://www.floralvyapaar.com/about-lrsd/about-us}","low","0.86"
351,"Fortune Portfolio Private Ltd","ROW-2584",NULL,NULL,"https://www.fortuneindia.com/opinion/the-road-ahead-for-nbfcs/103720",NULL,NULL,NULL,"Not specified on website","Not specified on website","{products:https://www.fortuneindia.com/personal-finance,homepage:https://www.fortuneindia.com/opinion/the-road-ahead-for-nbfcs/103720,about:https://www.fortuneindia.com/opinion/the-road-ahead-for-nbfcs/103720/,team:https://www.fortuneindia.com/opinion/the-road-ahead-for-nbfcs/103720/topic/wealth-management}","low","0.57"
352,"Fox Capital Private Limited","ROW-2589",NULL,NULL,"https://foxcapital.in/foxcapital/",NULL,NULL,NULL,"Fox Capital Pvt. Ltd. is a NBFC licensed by Reserve bank of India, offering various financial products such as consumer loans, durable loans, personal loans, lifestyle finance, bill discounting, and unsecured business loans to serve retail and business customers across the country.","Multi-Product","{about:https://foxcapital.in/foxcapital/,team:https://foxcapital.in/management-team/,homepage:https://foxcapital.in/foxcapital/,products:https://foxcapital.in/consumer-durable-loan/}","high","1.00"
353,"Fraternal Investments Private Limited","ROW-2595",NULL,NULL,"https://www.fraternalcredit.com/",NULL,NULL,NULL,"Fraternal Credit & Financial Services Ltd is an A Grade Non-Banking Finance Company (NBFC) providing financial assistance to vehicles, mainly used vehicles, through hire purchase loans. The company aims to cater to the economically weaker sections of society and provide excellent services with integrity. It focuses on used vehicle finance market.","MSME","{homepage:https://www.fraternalcredit.com/}","medium","0.86"
354,"Freemen Investments Private Ltd.","ROW-2597",NULL,NULL,"https://www.freemeninvestments.com/",NULL,NULL,NULL,"Freemen Investments Pvt. Ltd. is an NBFC that provides investment banking services, including buying and selling of shares, stock debentures, and other financial instruments. It aims to provide quick and affordable loans with the goal of unlocking value from gold jewellery investments. The company was founded in 1992 and is licensed by the Reserve Bank of India.","Multi-Product","{homepage:https://www.freemeninvestments.com/}","medium","0.86"
355,"Fynx Capital Limited (Earlier known as Rajath Finance Limited)","ROW-2624",NULL,NULL,"https://fynxcapital.com/",NULL,NULL,NULL,"FynX is an NBFC that provides a comprehensive suite of loans and supply chain financing solutions for MSMEs, aiming to democratize finance and empower businesses in India.","MSME","{products:https://fynxcapital.com/msme-financing/,homepage:https://fynxcapital.com/,about:https://fynxcapital.com/about/,team:https://fynxcapital.com/our-team/}","medium","1.00"
356,"Gala Finance and Investment Private Limited","ROW-2671",NULL,NULL,"https://www.galadafinance.in/",NULL,NULL,NULL,"Galada Finance is an NBFC providing asset financing solutions for automobile financing, equipment and machinery financing, insurance, and other services.","MSME","{homepage:https://www.galadafinance.in/}","medium","0.86"
357,"Galada Finance Limited","ROW-2672",NULL,NULL,"https://www.galadafinance.in/",NULL,NULL,NULL,"Galada Finance is an NBFC providing asset financing solutions for automobile, equipment and machinery financing, insurance, and other financial services.","MSME","{homepage:https://www.galadafinance.in/}","medium","0.86"
358,"Ganesh Capfin Ltd.","ROW-2691",NULL,NULL,"https://www.ganeshcapfin.in/",NULL,NULL,NULL,"Ganesh Capfin Ltd. is a Non Banking Finance Company that offers various loan products such as home loans, personal loans, business loans, auto loans, and SME loans with reasonable interest rates.","SME","{homepage:https://www.ganeshcapfin.in/}","medium","1.00"
359,"Ganesh Finstock Limited","ROW-2692",NULL,NULL,"https://ganeshleasfin.com/",NULL,NULL,NULL,"Ganesh Leasfin is a responsible Non-banking finance company (NBFC) registered with the Reserve Bank of India (RBI), offering short-term and long-term unsecured personal loans in various cities across 11 states.","Multi-Product","{team:https://ganeshleasfin.com/core-team,products:https://ganeshleasfin.com/loan-products,homepage:https://ganeshleasfin.com/,about:https://ganeshleasfin.com/about-us}","high","1.00"
360,"Ganesh Ganga Investment Pvt. Ltd.","ROW-2693",NULL,NULL,"https://www.ganeshganga.com/",NULL,NULL,NULL,"Ganesh Ganga Investment Private Limited is an RBI registered Non-Banking Financial Company offering a range of loan products for businesses and individuals, including Business Loans and Personal Loans.","MSME","{team:https://www.ganeshganga.com/contact,homepage:https://www.ganeshganga.com/}","high","1.00"
361,"Ganesh Hire Purchase & Leasing Finance Private Limited","ROW-2694",NULL,NULL,"https://ganeshleasfin.com/",NULL,NULL,NULL,"Ganesh Leasfin is a responsible Non-banking finance company (NBFC) registered with the Reserve Bank of India (RBI), offering short-term and long-term unsecured personal loans in various cities across 11 states.","MSME","{team:https://ganeshleasfin.com/core-team,products:https://ganeshleasfin.com/loan-products,homepage:https://ganeshleasfin.com/,about:https://ganeshleasfin.com/about-us}","high","1.00"
362,"Ganesh Leasfin Pvt. Ltd.","ROW-2696",NULL,NULL,"https://ganeshleasfin.com/",NULL,NULL,NULL,"Ganesh Leasfin is a responsible Non-banking finance company (NBFC) registered with the Reserve Bank of India (RBI), offering short-term and long-term unsecured personal loans in various cities across 11 states.","MSME","{team:https://ganeshleasfin.com/core-team,products:https://ganeshleasfin.com/loan-products,homepage:https://ganeshleasfin.com/,about:https://ganeshleasfin.com/about-us}","high","1.00"
363,"Gangotri Commodities & Finvest (P) Ltd","ROW-2707",NULL,NULL,"https://gangotri-commodities-and-finvest-pvt-ltd.charteredone.com/U51909WB1991PTC051698",NULL,NULL,NULL,"Gangotri Commodities & Finvest Pvt Ltd is a private limited company involved in other wholesale N.E.C. activities, with an authorized share capital of Rs. 32,000,000 and a paid-up capital of Rs. 20,996,000.","Not specified on website","{homepage:https://gangotri-commodities-and-finvest-pvt-ltd.charteredone.com/U51909WB1991PTC051698}","medium","0.86"
364,"Gangotri Holdings Private Limited","ROW-2708",NULL,NULL,"https://www.gangotri-group.com/",NULL,NULL,NULL,"Gangotri Group is a high-class real estate developer that aims to achieve high design construction excellence within a limited timeframe at competitive prices. The company has its registered office in Kolkata and focuses on building premium residential structures. It emphasizes meticulous attention to detail, cutting-edge engineering practices, and sustainable construction methods.","Not specified on website","{homepage:https://www.gangotri-group.com/}","medium","0.86"
365,"Ganodaya Finlease Ltd","ROW-2714",NULL,NULL,"https://ganodayafinlease.com/",NULL,NULL,NULL,"Ganodaya Finlease Limited is a Non-Banking Financial Company (NBFC) engaged in loan financing and investment in securities, operating as a non-deposit taking NBFC. The company has demonstrated strong financial performance and sustainable growth over the past five years. It aims to deliver reliable, transparent, and efficient financial solutions through prudent lending, strategic investments, and sound governance.","MSME","{team:https://ganodayafinlease.com/management/,homepage:https://ganodayafinlease.com/,about:https://ganodayafinlease.com/about-us/}","high","1.00"
366,"Ganpati Finlease Pvt. Ltd.","ROW-2716",NULL,NULL,"https://www.ganpatifin.in/",NULL,NULL,NULL,"Ganpati Finlease pvt Ltd is an NBFC registered with Reserve Bank of India (RBI), providing financing solutions to small and medium businesses for their business growth and to meet ancillary business requirements, along with Personal loans.","MSME","{about:https://www.ganpatifin.in/about-us/,team:https://www.ganpatifin.in/contact/,homepage:https://www.ganpatifin.in/,products:https://www.ganpatifin.in/products/}","high","1.00"
367,"Ganpati Riverside  Pvt. Ltd.","ROW-2717",NULL,NULL,"https://ganpatifinanceltd.com/",NULL,NULL,NULL,"Ganpati Finance offers personal loans ranging from ₹50,000 to ₹10,00,000 with competitive interest rates starting at 8% per annum. They provide flexible repayment tenures and easy access to funds for personal needs.","Multi-Product","{homepage:https://ganpatifinanceltd.com/}","high","1.00"
368,"Ganpati Stock Limited","ROW-2718",NULL,NULL,"https://ganpati-stock-limited.charteredone.com/U08032DL1995PLC292023",NULL,NULL,NULL,"GANPATI STOCK LIMITED is a private limited company incorporated in India, involved in various compliances and registrations with government agencies.","Not specified on website","{homepage:https://ganpati-stock-limited.charteredone.com/U08032DL1995PLC292023}","medium","0.86"
369,"Gateway Leasing Pvt Ltd","ROW-2738",NULL,NULL,"https://www.gatewayfin.in/",NULL,NULL,NULL,"Gateway Financial Services LTD is a non-deposit-taking Non-Banking Financial Company (NBFC) that provides various financial services, including lending, retail broking, and investment advisory services.","Multi-Product","{homepage:https://www.gatewayfin.in/}","high","1.00"
370,"Gavde Finance Pvt. Ltd","ROW-2750",NULL,NULL,"https://gavdefinance.com/",NULL,NULL,NULL,"Gavde Finance Pvt. Ltd is a RBI registered Non-banking Finance Company (NBFC) focused on providing Financial Services to Corporates & SMEs and Finance to SMEs.","MSME","{team:https://gavdefinance.com/contact-us-2/,about:https://gavdefinance.com/about-us/,homepage:https://gavdefinance.com/,products:https://gavdefinance.com/}","high","1.00"
371,"Geetanjali Credit And Capital Limited","ROW-2763",NULL,NULL,"https://www.geetanjalicreditcapital.in/",NULL,NULL,NULL,"Geetanjali Credit and Capital Limited is a Non-Banking Financial Company (NBFC) registered with the Reserve Bank of India, offering consulting services and financial solutions to businesses. The company provides a range of services including business consulting, financing solutions, and project management. It has been in operation for over 8 years.","MSME","{homepage:https://www.geetanjalicreditcapital.in/}","medium","0.86"
372,"Gemco Engineering Industries Limited","ROW-2767",NULL,NULL,"https://gemco-engineering-industries-ltd.charteredone.com/U74200WB2004PLC002556",NULL,NULL,NULL,"GEMCO ENGINEERING INDUSTRIES LTD is a Private Limited company incorporated in India, involved in various compliances and registrations related to corporate affairs, tax, and audit.","Not specified on website","{homepage:https://gemco-engineering-industries-ltd.charteredone.com/U74200WB2004PLC002556}","low","0.71"
373,"Gems Commercial Company Ltd","ROW-2771",NULL,NULL,"https://www.gemscommercial.co.in/",NULL,NULL,NULL,"GEMS Commercial Co. Limited is a Non-Banking Financial Company (NBFC) that provides lending and other financial services, mainly operating in two segments: Loan & Investments.","MSME","{homepage:https://www.gemscommercial.co.in/}","medium","0.86"
374,"Genesis Finance Company Limited","ROW-2775",NULL,NULL,"https://www.genesisfinance.net/",NULL,NULL,NULL,"Genesis Finance is an NBFC providing debt financing to MSMEs and consumers in India, offering various loan products such as Loan Against Property, Car Loan, Working Capital Loan, Business Loan, Home Loan, Personal Loan, and Venture Capital.","MSME","{homepage:https://www.genesisfinance.net/}","medium","1.00"
